Sample date,Weather,Location,Site Reference,Temperature,pH ,Conductivity,Dissolved Oxygen,Turburdity,Nitrite ,Nitrate ,Total Coliforms ,E-Coli,Faecal Streptococci,Ammonium as NH4 ,B.O.D ,C.O.D. ,Phosphate mg/l,Salinity (ppt)
,,,,degrees c,pH units,mS,%,Turbidity units,mg/l,mg/l as NO3,Counts per 100ml,counts per 100ml,counts per 100ml,mg/l,mg/l per 5 day,mg/l,,
,,Hartcliffe Way,5,,,,,,,,,,,,,,,
,,Cadogan Road,10,,,,,,,,,,,,,,,
26-Jan-95,,Ashton vale,4,7,,690,,23,0.124,0.072,73000,36000,,,,,,
26-Jan-95,,Hartcliffe Way,5,7,,550,,50,0.046,0.11,19000,4000,,,,,,
26-Jan-95,,Manor Wood,6,7,,660,,10,0.055,1,47000,6300,,,,,,
26-Jan-95,,Gas works at Malago Vale,7,7,,780,,22,0.055,0.35,8600,6000,,,,,,
26-Jan-95,,Lynet Way,8,7,,570,,8,0.077,0.06,4700,1400,,,,,,
26-Jan-95,,Allison Road,9,7,,590,,7,0,0.8,22000,19000,,,,,,
26-Jan-95,,Cadogan Road,10,8,,710,,3,0.021,0.076,110000,45000,,,,,,
26-Jan-95,,St Georges Park Lake,11,6,,470,,5,0.018,0.13,1000,740,,,,,,
26-Jan-95,,Dubbers Lane,12,10,,1650,,6,0.254,0.15,61000,4200,,,,,,
26-Jan-95,,Eastville Park Lake,13,6,,530,,1,0.009,0.012,480,200,,,,,,
26-Jan-95,,Snuff Mills,14,7,,480,,75,0.057,>1,20000,8100,,,,,,
27-Jan-95,,Avonmouth Rhine,1,3,,1700,,19,0.023,0.13,400,<200,,,,,,
27-Jan-95,,Trowbridge Road,2,8,,750,,3,0.034,0.11,380000,20000,,,,,,
27-Jan-95,,Coombe Dingle,3,7,,820,,3,0.019,0.055,8500,800,,,,,,
27-Jan-95,,Mina Park ,15,9,,1060,,2,0.036,0.8,11000,2400,,,,,,
22-Feb-95,,Avonmouth Rhine,1,8,7,800,,3,0.09,0.051,200,<200,,,4,,,
22-Feb-95,,Trowbridge Road,2,8,8,900,,0,0.03,>1,110000,24000,,,3,,,
22-Feb-95,,Coombe Dingle,3,9,8,800,,1,0.012,>1,28000,2000,,,3,,,
22-Feb-95,,Ashton vale,4,8,8,900,,0,0.169,1,18000,2200,,,3,,,
22-Feb-95,,Hartcliffe Way,5,8,8,,,1,0.036,>1,34000,2500,,,2,,,
24-Feb-95,,Manor Wood,6,,8,,,1,0.027,>1,62000,33000,,,4,,,
24-Feb-95,,Gas works at Malago Vale,7,,8,,,4,0.387,>1,20000,5400,,,4,,,
24-Feb-95,,Lynet Way,8,8,8,,,2,0.051,>1,6000,800,,,2,,,
24-Feb-95,,Allison Road,9,8,7,,,1,0.218,0.068,190000,38000,,,4,,,
24-Feb-95,,Cadogan Road,10,9,7,1080,,0,0.143,>1,16000,4400,,,8,,,
24-Feb-95,,St Georges Park Lake,11,6,7,,,1,0.006,0.28,22000,4000,,,9,,,
24-Feb-95,,Dubbers Lane,12,11,7,,,0,0.5,0.17,32000,4000,,,46,,,
24-Feb-95,,Eastville Park Lake,13,6,7,,,0,0.034,0.75,200,<200,,,6,,,
24-Feb-95,,Snuff Mills,14,7,8,,,1,0.003,>1,10000,2200,,,3,,,
24-Feb-95,,Mina Park ,15,9,8,,,0,0.044,>1,11000,6800,,,3,,,
22-Mar-95,,Dubbers Lane,12,11,8,860,,1,0.5,0.012,19200,15400,,,16,,,
22-Mar-95,,Eastville Park Lake,13,8,8,880,,1,0.044,0.25,440,50,,,5,,,
22-Mar-95,,Snuff Mills,14,6,7,860,,1,0.001,0.14,5800,160,,,2,,,
22-Mar-95,,Mina Park ,15,10,8,820,,1,0.003,0.14,91800,1800,,,2,,,
23-Mar-95,,Avonmouth Rhine,1,10,8,,,9,0.007,0.6,20,<20,,,6,,,
23-Mar-95,,Trowbridge Road,2,9,8,,,6,0.003,>1,40000,40000,,,7,,,
23-Mar-95,,Coombe Dingle,3,10,8,,,5,0.004,>1,4800,1600,,,3,,,
23-Mar-95,,Ashton vale,4,6,8,1160,,16,0.003,0.47,21000,800,,,15,,,
23-Mar-95,,Hartcliffe Way,5,7,7,980,,3,0.003,>1,16000,1100,,,4,,,
